,character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence,ipa,tone,tone_height,tone_contour,tone_level,tone_rising,tone_falling,vowel_backedness,vowel_height,vowel_roundedness,masculine,feminine
2235,吟,yin2,7,4954,62720,-0.854,19519,10726,8350,10881,11978,6197,60.807,52.322,39.952,52.565,71.298,68.856,57.633,4.232,25.017,4.585,2.8125,2.9,2.8,in,2,mid,rising,0,1,0,front,high,unround,0.07320388923367911,0.07320388923367911
2236,垠,yin2,9,4380,2949,0.195,371,273,679,1979,2246,1780,1.156,1.332,3.249,9.56,13.369,19.778,8.074,5.042,3.023,5.395,2.5625,2.6,2.8,in,2,mid,rising,0,1,0,front,high,unround,0.5976258698321736,0.5976258698321736
2237,银,yin2,11,2431020,2674100,-0.048,1910057,1104125,860591,697502,402191,124569,5950.333,5385.976,4117.66,3369.575,2393.994,1384.1,3766.94,2.424,190.362,3.718,3.3125,2.9,3.0,in,2,mid,rising,0,1,0,front,high,unround,0.47619252828532926,0.47619252828532926
2238,寅,yin2,11,128849,30264,0.62,35256,15647,18370,50440,31297,8173,109.832,76.327,87.895,243.671,186.292,90.811,132.471,3.875,10.097,4.955,3.1875,3.3,3.8,in,2,mid,rising,0,1,0,front,high,unround,0.8097955541030588,0.8097955541030588
2239,尹,yin3,4,22739,36319,-0.23,3099,2092,3910,10764,18318,20896,9.654,10.205,18.708,52.0,109.036,232.178,71.964,4.137,11.576,4.9,3.375,3.1,3.0,in,3,low,falling-rising,0,1,1,front,high,unround,0.38502827728673505,0.38502827728673505
2240,引,yin3,4,27284,204417,-0.764,108925,46591,29895,25781,16867,3333,339.33,227.273,143.038,124.546,100.399,37.033,161.937,3.788,485.552,3.313,2.9375,2.7,2.7,in,3,low,falling-rising,0,1,1,front,high,unround,0.11775521037889349,0.11775521037889349
2241,隐,yin3,11,1351,1504,-0.054,311,161,273,725,1054,349,0.969,0.785,1.306,3.502,6.274,3.878,2.786,5.422,90.615,4.038,2.75,3.1,2.7,in,3,low,falling-rising,0,1,1,front,high,unround,0.4732049036777583,0.4732049036777583
2242,印,yin4,5,531481,59617,0.798,255555,127507,84564,64397,41579,17891,796.121,621.985,404.612,311.097,247.494,198.789,430.016,3.366,200.266,3.696,2.75,2.8,2.9,in,4,high,falling,0,0,1,front,high,unround,0.8991419358549683,0.8991419358549683
2243,胤,yin4,9,54604,8757,0.724,3081,2371,4819,12366,17103,23614,9.598,11.566,23.057,59.739,101.804,262.378,78.024,4.102,0.965,5.707,3.5625,3.5,3.7,in,4,high,falling,0,0,1,front,high,unround,0.8617919540411294,0.8617919540411294
2244,英,ying1,8,2129955,38849711,-0.896,21309061,8568501,6588993,3019930,1137130,324416,66383.368,41797.566,31526.282,14589.034,6768.631,3604.622,27444.917,1.562,422.656,3.373,4.125,3.6,3.4,iŋ,1,high,level,1,0,0,front,high,unround,0.05197589946194291,0.05197589946194291
