,character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence,ipa,tone,tone_height,tone_contour,tone_level,tone_rising,tone_falling,vowel_backedness,vowel_height,vowel_roundedness,masculine,feminine
493,亘,gen4,6,1267,271,0.648,67,82,179,411,492,307,0.209,0.4,0.856,1.986,2.929,3.411,1.632,5.58,3.537,5.343,4.0625,2.8,3.5,ken,4,high,falling,0,0,1,front,middle,unround,0.8237971391417426,0.8237971391417426
494,艮,gen4,6,43223,68203,-0.224,58802,24599,14177,9359,4194,336,183.184,119.995,67.833,45.213,24.964,3.733,74.154,4.124,0.772,5.752,3.3125,2.5,3.0,ken,4,high,falling,0,0,1,front,middle,unround,0.38790766966417173,0.38790766966417173
495,庚,geng1,8,215470,48963,0.63,116680,39958,33889,29756,28937,14998,363.489,194.917,162.148,143.749,172.244,166.644,200.532,3.696,9.647,4.973,3.9375,3.1,3.5,keŋ,1,high,level,1,0,0,front,middle,unround,0.8148377849965776,0.8148377849965776
496,耕,geng1,10,32193,3739,0.792,11525,6708,4959,4406,5485,2848,35.903,32.722,23.727,21.285,32.649,31.644,29.655,4.513,70.55,4.145,3.5,3.5,3.0,keŋ,1,high,level,1,0,0,front,middle,unround,0.8959423355226539,0.8959423355226539
497,赓,geng1,12,5236,169,0.937,140,225,602,1565,2069,801,0.436,1.098,2.88,7.56,12.315,8.9,5.532,5.185,1.929,5.533,3.75,3.0,3.1,keŋ,1,high,level,1,0,0,front,middle,unround,0.9687326549491212,0.9687326549491212
498,耿,geng3,10,82459,7210,0.839,8723,7339,12282,21414,26325,12142,27.174,35.8,58.766,103.449,156.696,134.911,86.133,4.06,15.242,4.789,3.6875,3.4,3.3,keŋ,3,low,falling-rising,0,1,1,front,middle,unround,0.919593170437944,0.919593170437944
499,更,geng4,7,68495,7703,0.798,31269,18565,12771,7968,4653,1081,97.411,90.561,61.105,38.493,27.696,12.011,54.546,4.255,850.456,3.07,2.75,2.8,2.8,keŋ,4,high,falling,0,0,1,front,middle,unround,0.8989081078243524,0.8989081078243524
500,弓,gong1,3,3101,183,0.889,361,348,556,1149,722,148,1.125,1.698,2.66,5.551,4.298,1.644,2.829,5.417,23.602,4.609,2.8125,3.0,3.3,koŋ,1,high,level,1,0,0,back,middle,rounded,0.9442752740560292,0.9442752740560292
501,公,gong1,4,114954,17652,0.734,59768,31531,20740,12257,6464,2314,186.193,153.81,99.234,59.213,38.476,25.711,93.773,4.023,1079.727,2.966,3.25,3.4,3.0,koŋ,1,high,level,1,0,0,back,middle,rounded,0.8668838514094385,0.8668838514094385
502,功,gong1,5,525672,56298,0.807,244340,124113,96285,61868,37793,17051,761.184,605.429,460.694,298.879,224.958,189.456,423.433,3.372,402.655,3.394,3.75,3.4,3.2,koŋ,1,high,level,1,0,0,back,middle,rounded,0.903263054796639,0.903263054796639
503,攻,gong1,7,425,113,0.58,104,61,97,136,103,37,0.324,0.298,0.464,0.657,0.613,0.411,0.461,5.835,158.335,3.798,2.1875,2.2,3.1,koŋ,1,high,level,1,0,0,back,middle,rounded,0.7899628252788105,0.7899628252788105
504,宫,gong1,9,2016,591,0.547,384,200,304,705,654,358,1.196,0.976,1.455,3.406,3.893,3.978,2.484,5.458,91.708,4.033,3.125,3.1,3.2,koŋ,1,high,level,1,0,0,back,middle,rounded,0.7733026467203682,0.7733026467203682
505,恭,gong1,10,28536,2182,0.858,13520,4977,3973,3740,2744,1744,42.118,24.278,19.01,18.068,16.333,19.378,23.198,4.616,22.252,4.634,3.375,3.7,3.2,koŋ,1,high,level,1,0,0,back,middle,rounded,0.928966729604792,0.928966729604792
506,龚,gong1,11,5863,1428,0.608,224,343,699,1952,2846,1227,0.698,1.673,3.344,9.43,16.94,13.633,7.62,5.064,8.296,5.032,3.125,3.1,2.9,koŋ,1,high,level,1,0,0,back,middle,rounded,0.8041420929913592,0.8041420929913592
507,巩,gong3,6,3490,626,0.696,698,499,495,739,1345,340,2.174,2.434,2.368,3.57,8.006,3.778,3.722,5.326,60.003,4.215,3.75,3.0,3.2,koŋ,3,low,falling-rising,0,1,1,back,middle,rounded,0.847910592808552,0.847910592808552
508,共,gong4,6,7574,1596,0.652,4610,1837,1333,795,446,144,14.361,8.961,6.378,3.841,2.655,1.6,6.299,5.137,675.272,3.17,3.25,3.2,3.0,koŋ,4,high,falling,0,0,1,back,middle,rounded,0.8259541984732824,0.8259541984732824
509,勾,gou1,4,7,3,0.4,5,1,3,0,1,0,0.016,0.005,0.014,0.0,0.006,0.0,0.007,5.997,35.757,4.435,2.0625,2.3,2.6,kou,1,high,level,1,0,0,back,high,rounded,0.7,0.7
510,钩,gou1,9,861,121,0.754,456,165,129,124,78,30,1.421,0.805,0.617,0.599,0.464,0.333,0.707,5.768,26.432,4.562,2.0625,1.9,2.9,kou,1,high,level,1,0,0,back,high,rounded,0.8767820773930753,0.8767820773930753
511,苟,gou3,8,17574,1427,0.85,13150,3350,1530,477,354,64,40.966,16.341,7.321,2.304,2.107,0.711,11.625,4.899,11.576,4.9,2.3125,2.4,2.9,kou,3,low,falling-rising,0,1,1,back,high,rounded,0.9248986895426556,0.9248986895426556
512,姑,gu1,8,622,82877,-0.985,49220,16298,9570,5247,2766,385,153.333,79.502,45.789,25.348,16.464,4.278,54.119,4.259,169.204,3.769,2.6875,2.9,2.5,ku,1,high,level,1,0,0,back,high,rounded,0.007449191008275549,0.007449191008275549
513,古,gu3,5,28515,11759,0.416,14254,6347,5607,6140,5744,2197,44.405,30.961,26.828,29.662,34.19,24.411,31.743,4.485,414.231,3.382,3.3125,3.2,3.2,ku,3,low,falling-rising,0,1,1,back,high,rounded,0.7080250285544023,0.7080250285544023
514,谷,gu3,7,69954,75245,-0.036,61855,32803,23581,13660,8897,4347,192.695,160.015,112.828,65.99,52.958,48.3,105.464,3.973,118.591,3.922,3.375,3.6,2.7,ku,3,low,falling-rising,0,1,1,back,high,rounded,0.48178017754943214,0.48178017754943214
515,鼓,gu3,13,224,43,0.678,27,31,44,68,73,23,0.084,0.151,0.211,0.329,0.435,0.256,0.244,5.905,165.024,3.78,2.9375,3.1,2.6,ku,3,low,falling-rising,0,1,1,back,high,rounded,0.8389513108614233,0.8389513108614233
516,固,gu4,8,12690,888,0.869,5656,1931,1979,1801,1389,821,17.62,9.42,9.469,8.7,8.268,9.122,10.433,4.942,313.969,3.502,3.3125,3.0,3.1,ku,4,high,falling,0,0,1,back,high,rounded,0.9346000883782589,0.9346000883782589
517,顾,gu4,10,4018,1527,0.449,511,301,392,925,1464,1957,1.592,1.468,1.876,4.469,8.714,21.744,6.644,5.117,205.154,3.686,3.375,3.6,3.2,ku,4,high,falling,0,0,1,back,high,rounded,0.7246167718665464,0.7246167718665464
541,郭,guo1,10,15947,23816,-0.198,21877,2111,2591,4457,5382,3339,68.153,10.298,12.397,21.531,32.036,37.1,30.253,4.505,73.701,4.127,3.1875,2.7,2.8,kuo,1,high,level,1,0,0,back,high,rounded,0.4010512285290345,0.4010512285290345
542,国,guo2,8,18301106,3807903,0.656,7185052,5434182,4908864,2675218,1372216,534949,22383.34,26508.205,23487.388,12923.758,8167.952,5943.878,16569.087,1.781,4350.742,2.361,4.0,3.5,3.6,kuo,2,mid,rising,0,1,0,back,high,rounded,0.8277669071463131,0.8277669071463131
543,果,guo3,8,221559,322482,-0.186,140058,93747,101279,102722,62576,42041,436.318,457.302,484.589,496.242,372.476,467.122,452.342,3.344,1194.459,2.922,3.75,3.1,2.7,kuo,3,low,falling-rising,0,1,1,back,high,rounded,0.40724688029027223,0.40724688029027223
544,过,guo4,6,12654,12499,0.006,9698,4556,3417,2571,3663,1386,30.212,22.224,16.349,12.42,21.804,15.4,19.735,4.683,3252.494,2.488,2.5,2.8,2.8,kuo,4,high,falling,0,0,1,back,high,rounded,0.5030811434023774,0.5030811434023774
545,哈,ha1,9,15871,3802,0.613,3208,2610,3326,3795,4720,2013,9.994,12.732,15.914,18.333,28.095,22.367,17.906,4.723,163.03,3.785,2.375,3.1,2.2,xa,1,high,level,1,0,0,center,low,unround,0.8067402023077314,0.8067402023077314
548,含,han2,7,58652,164276,-0.474,25200,12199,14407,22850,57788,90532,78.505,59.507,68.933,110.386,343.976,1005.911,277.87,3.555,284.514,3.544,3.6875,3.4,2.8,xan,2,mid,rising,0,1,0,center,low,unround,0.2630983994832412,0.2630983994832412
549,函,han2,8,30961,50228,-0.237,1745,1053,2594,8817,22562,44447,5.436,5.137,12.411,42.594,134.298,493.856,115.622,3.933,31.513,4.488,3.8125,3.6,3.4,xan,2,mid,rising,0,1,0,center,low,unround,0.38134476345317714,0.38134476345317714
550,晗,han2,11,121520,202320,-0.25,734,2729,9955,35444,123941,150908,2.287,13.312,47.632,171.227,737.744,1676.756,441.493,3.354,0.836,5.736,4.3125,3.7,3.7,xan,2,mid,rising,0,1,0,center,low,unround,0.37524703557312256,0.37524703557312256
551,焓,han2,11,3662,5076,-0.162,16,45,132,637,2358,5543,0.05,0.22,0.632,3.077,14.036,61.589,13.267,4.846,0.322,5.879,3.4375,3.1,3.2,xan,2,mid,rising,0,1,0,center,low,unround,0.41908903639276723,0.41908903639276723
552,涵,han2,11,461895,738806,-0.231,14056,5864,13090,62061,251410,854177,43.788,28.605,62.632,299.812,1496.488,9490.856,1903.697,2.72,26.239,4.565,4.5,3.9,3.7,xan,2,mid,rising,0,1,0,center,low,unround,0.38468777822288813,0.38468777822288813
553,韩,han2,12,58734,41428,0.173,6262,5780,10343,18095,28943,30762,19.508,28.195,49.488,87.415,172.28,341.8,116.448,3.93,34.664,4.448,3.375,3.3,2.9,xan,2,mid,rising,0,1,0,center,low,unround,0.5863900481220423,0.5863900481220423
554,寒,han2,12,130974,190698,-0.186,19682,20421,36745,59389,101554,83702,61.315,99.615,175.813,286.903,604.488,930.022,359.693,3.443,114.217,3.938,3.375,2.0,3.2,xan,2,mid,rising,0,1,0,center,low,unround,0.4071663060508841,0.4071663060508841
555,罕,han3,7,10623,11715,-0.049,2752,2222,3091,5848,5182,2830,8.573,10.839,14.789,28.251,30.845,31.444,20.79,4.662,24.889,4.587,2.75,2.1,2.3,xan,3,low,falling-rising,0,1,1,center,low,unround,0.4755573462261617,0.4755573462261617
556,浛,han4,10,620,2222,-0.564,1,8,40,290,584,1917,0.003,0.039,0.191,1.401,3.476,21.3,4.402,5.267,0.0,6.0,3.125,2.9,3.0,浛,4,high,falling,0,0,1,missing,missing,missing,0.21815622800844475,0.21815622800844475
557,汉,han4,5,1984348,403287,0.662,1110221,497934,333822,215712,167318,61428,3458.632,2428.946,1597.234,1042.087,995.94,682.533,1700.895,2.769,281.427,3.549,3.125,3.1,2.9,xan,4,high,falling,0,0,1,center,low,unround,0.8310935297899386,0.8310935297899386
558,捍,han4,10,7995,608,0.859,2199,4118,1723,235,229,105,6.85,20.088,8.244,1.135,1.363,1.167,6.475,5.126,6.11,5.148,2.6875,2.2,3.2,xan,4,high,falling,0,0,1,center,low,unround,0.9293269789608276,0.9293269789608276
559,悍,han4,10,413,16,0.925,19,32,46,108,139,94,0.059,0.156,0.22,0.522,0.827,1.044,0.471,5.832,6.56,5.121,2.0625,2.1,2.8,xan,4,high,falling,0,0,1,center,low,unround,0.9627039627039627,0.9627039627039627
560,菡,han4,11,2841,60624,-0.91,828,928,2313,8811,16896,33684,2.579,4.527,11.067,42.565,100.571,374.267,89.263,4.044,0.707,5.768,3.875,3.4,3.1,xan,4,high,falling,0,0,1,center,low,unround,0.04476483100921768,0.04476483100921768
561,撼,han4,16,867,89,0.814,24,47,120,239,331,195,0.075,0.229,0.574,1.155,1.97,2.167,1.028,5.693,7.139,5.089,2.875,2.7,3.0,xan,4,high,falling,0,0,1,center,low,unround,0.9069037656903766,0.9069037656903766
562,翰,han4,16,139274,9966,0.866,11369,3891,5432,16783,46037,65684,35.417,18.98,25.99,81.077,274.03,729.822,194.219,3.709,8.103,5.041,4.25,3.7,4.1,xan,4,high,falling,0,0,1,center,low,unround,0.9332216563923881,0.9332216563923881
563,瀚,han4,19,152948,19719,0.772,1666,2180,5520,22736,57291,83326,5.19,10.634,26.411,109.836,341.018,925.844,236.489,3.624,4.952,5.225,4.3125,3.8,3.9,xan,4,high,falling,0,0,1,center,low,unround,0.8857975177654097,0.8857975177654097
564,夯,hang1,5,2606,906,0.484,1511,639,502,499,309,52,4.707,3.117,2.402,2.411,1.839,0.578,2.509,5.455,0.772,5.752,2.125,2.6,2.3,xaŋ,1,high,level,1,0,0,center,low,unround,0.7420273348519362,0.7420273348519362
565,行,hang2,6,481566,83969,0.703,151260,78012,77462,82607,110247,65617,471.215,380.546,370.632,399.068,656.232,729.078,501.129,3.299,2495.997,2.603,3.25,3.2,2.9,ɕiŋ,2,mid,rising,0,1,0,front,high,unround,0.8515228942505769,0.8515228942505769
566,杭,hang2,8,161756,47213,0.548,15791,10343,14328,29196,67522,71709,49.193,50.454,68.555,141.043,401.917,796.767,251.322,3.598,22.059,4.637,3.5,3.2,3.0,xaŋ,2,mid,rising,0,1,0,center,low,unround,0.7740669668706842,0.7740669668706842
567,航,hang2,10,1032841,144549,0.754,16670,25446,55803,141451,433006,505160,51.931,124.127,267.0,683.338,2577.417,5612.889,1552.784,2.809,118.719,3.922,3.9375,3.4,3.2,xaŋ,2,mid,rising,0,1,0,center,low,unround,0.8772292953057186,0.8772292953057186
568,沆,hang4,7,491,121,0.605,48,21,40,119,223,161,0.15,0.102,0.191,0.575,1.327,1.789,0.689,5.772,0.579,5.802,2.5,2.7,2.8,xaŋ,4,high,falling,0,0,1,center,low,unround,0.8022875816993464,0.8022875816993464
582,呵,he1,8,667,855,-0.124,32,8,24,380,844,229,0.1,0.039,0.115,1.836,5.024,2.544,1.61,5.583,86.756,4.057,1.8125,2.6,2.0,xe,1,high,level,1,0,0,front,middle,unround,0.43823915900131405,0.43823915900131405
583,禾,he2,5,25221,39126,-0.216,15688,9988,7290,4864,9521,17058,48.872,48.722,34.88,23.498,56.673,189.533,67.03,4.167,11.64,4.898,3.3125,3.5,2.8,xe,2,mid,rising,0,1,0,front,middle,unround,0.39195300480208867,0.39195300480208867
584,合,he2,6,897555,220939,0.605,529057,294648,170207,75046,36126,14322,1648.153,1437.307,814.388,362.541,215.036,159.133,772.76,3.111,1504.312,2.822,3.9375,3.6,3.4,xe,2,mid,rising,0,1,0,front,middle,unround,0.8024674249481892,0.8024674249481892
585,何,he2,7,69606,67630,0.014,40792,23528,21692,21117,18995,10839,127.078,114.771,103.789,102.014,113.065,120.433,113.525,3.941,556.938,3.253,3.125,3.0,2.9,xe,2,mid,rising,0,1,0,front,middle,unround,0.5071992771575972,0.5071992771575972
586,和,he2,8,2825285,665518,0.619,1765703,821296,501683,221267,120376,61154,5500.632,4006.322,2400.397,1068.923,716.524,679.489,2395.381,2.62,5765.147,2.239,3.8125,3.9,3.1,xe,2,mid,rising,0,1,0,front,middle,unround,0.8093510289752817,0.8093510289752817
587,河,he2,8,715451,47760,0.875,270873,193897,143801,82090,50730,22086,843.841,945.839,688.043,396.57,301.964,245.4,570.276,3.243,394.359,3.403,3.125,3.2,2.8,xe,2,mid,rising,0,1,0,front,middle,unround,0.9374222855802655,0.9374222855802655
588,荷,he2,10,11624,406350,-0.944,202787,87093,52096,32103,23810,19880,631.735,424.844,249.263,155.087,141.726,220.889,303.924,3.516,65.662,4.176,3.9375,3.7,3.1,xe,2,mid,rising,0,1,0,front,middle,unround,0.027810342270093356,0.027810342270093356
589,核,he2,10,1900,738,0.44,419,737,620,400,322,146,1.305,3.595,2.967,1.932,1.917,1.622,2.223,5.492,221.489,3.653,2.6875,2.8,2.7,xe,2,mid,rising,0,1,0,front,middle,unround,0.7202426080363912,0.7202426080363912
590,贺,he4,9,502118,188844,0.453,119304,77248,84359,168242,159867,82717,371.664,376.82,403.632,812.763,951.589,919.078,639.258,3.194,53.443,4.264,4.0,3.7,3.4,xe,4,high,falling,0,0,1,front,middle,unround,0.7266940873738353,0.7266940873738353
591,赫,he4,14,106716,28487,0.579,2038,1840,5123,19713,40096,66416,6.349,8.976,24.512,95.232,238.667,737.956,185.282,3.73,41.288,4.374,4.1875,3.5,3.8,xe,4,high,falling,0,0,1,front,middle,unround,0.7893020125293078,0.7893020125293078
592,鹤,he4,15,242290,134543,0.286,76103,30799,36393,96807,90503,46259,237.081,150.239,174.129,467.667,538.708,513.989,346.969,3.458,15.885,4.772,4.125,3.4,3.5,xe,4,high,falling,0,0,1,front,middle,unround,0.6429638593222993,0.6429638593222993
593,壑,he4,17,675,288,0.402,8,19,53,169,401,313,0.025,0.093,0.254,0.816,2.387,3.478,1.176,5.662,4.502,5.259,2.4375,2.6,2.8,xe,4,high,falling,0,0,1,front,middle,unround,0.7009345794392523,0.7009345794392523
595,亨,heng1,7,71269,8808,0.78,33028,10145,7944,8036,14176,6830,102.891,49.488,38.01,38.821,84.381,75.889,64.913,4.181,6.624,5.118,3.25,2.8,2.8,xeŋ,1,high,level,1,0,0,front,middle,unround,0.8900058693507499,0.8900058693507499
596,哼,heng1,10,69,22,0.516,19,4,9,19,33,10,0.059,0.02,0.043,0.092,0.196,0.111,0.087,5.964,38.844,4.4,1.75,2.0,2.0,xeŋ,1,high,level,1,0,0,front,middle,unround,0.7582417582417582,0.7582417582417582
597,恒,heng2,9,1960624,340356,0.704,657195,294715,287335,318324,401160,342298,2047.336,1437.634,1374.809,1537.797,2387.857,3803.311,2098.124,2.678,79.103,4.096,4.3125,3.5,3.3,xeŋ,2,mid,rising,0,1,0,front,middle,unround,0.8520821562986206,0.8520821562986206
598,珩,heng2,10,25444,13317,0.313,6078,2075,4693,6104,9671,10156,18.935,10.122,22.455,29.488,57.565,112.844,41.902,4.368,0.707,5.768,4.0,3.7,3.3,xeŋ,2,mid,rising,0,1,0,front,middle,unround,0.6564330125641753,0.6564330125641753
599,桁,heng2,10,2624,304,0.792,125,72,144,347,884,1360,0.389,0.351,0.689,1.676,5.262,15.111,3.913,5.309,0.0,6.0,3.25,3.1,3.0,xeŋ,2,mid,rising,0,1,0,front,middle,unround,0.8961748633879781,0.8961748633879781
600,衡,heng2,16,161576,21865,0.762,28688,13144,19983,32722,45128,43842,89.371,64.117,95.612,158.077,268.619,487.133,193.822,3.71,139.492,3.852,4.0,3.4,3.6,xeŋ,2,mid,rising,0,1,0,front,middle,unround,0.8808063628087505,0.8808063628087505
601,蘅,heng2,19,2230,2654,-0.087,307,156,497,556,980,2386,0.956,0.761,2.378,2.686,5.833,26.511,6.521,5.124,0.322,5.879,3.625,3.0,3.0,xeŋ,2,mid,rising,0,1,0,front,middle,unround,0.45659295659295657,0.45659295659295657
602,轰,hong1,8,1311,250,0.68,317,288,278,336,283,59,0.988,1.405,1.33,1.623,1.685,0.656,1.281,5.642,50.549,4.288,2.3125,2.4,2.6,xoŋ,1,high,level,1,0,0,back,middle,rounded,0.8398462524023063,0.8398462524023063
603,訇,hong1,9,4,6,-0.2,4,3,1,2,0,0,0.012,0.015,0.005,0.01,0.0,0.0,0.007,5.997,1.736,5.563,2.6875,2.3,2.7,xoŋ,1,high,level,1,0,0,back,middle,rounded,0.4,0.4
604,烘,hong1,10,2345,493,0.653,369,222,285,536,836,590,1.15,1.083,1.364,2.589,4.976,6.556,2.953,5.403,13.698,4.833,2.4375,3.0,2.9,xoŋ,1,high,level,1,0,0,back,middle,rounded,0.8262861169837914,0.8262861169837914
605,弘,hong2,5,109650,35884,0.507,7412,10924,14199,20289,43269,49515,23.09,53.288,67.938,98.014,257.554,550.167,175.009,3.754,9.068,4.997,4.3125,3.8,3.8,xoŋ,2,mid,rising,0,1,0,back,middle,rounded,0.7534321876674867,0.7534321876674867
606,红,hong2,6,5428392,16245963,-0.499,1520789,4624826,8190060,4969685,1961665,404869,4737.66,22560.127,39186.89,24008.14,11676.577,4498.544,17777.99,1.75,522.66,3.281,3.6875,3.2,2.8,xoŋ,2,mid,rising,0,1,0,back,middle,rounded,0.2504522971963872,0.2504522971963872
607,宏,hong2,7,3417987,1012646,0.543,763258,839788,1032795,777821,635210,379774,2377.751,4096.527,4941.603,3757.589,3781.012,4219.711,3862.366,2.413,68.749,4.156,4.4375,3.7,3.5,xoŋ,2,mid,rising,0,1,0,back,middle,rounded,0.7714443963198938,0.7714443963198938
608,泓,hong2,8,128118,56803,0.386,3347,7843,11312,23938,48036,90869,10.427,38.259,54.124,115.643,285.929,1009.656,252.34,3.596,7.396,5.076,4.4375,3.9,3.8,xoŋ,2,mid,rising,0,1,0,back,middle,rounded,0.6928255849795318,0.6928255849795318
609,虹,hong2,9,111915,756124,-0.742,43579,117722,185012,227473,201945,91971,135.76,574.254,885.225,1098.903,1202.054,1021.9,819.683,3.086,18.393,4.712,4.1875,3.7,2.9,xoŋ,2,mid,rising,0,1,0,back,middle,rounded,0.12892853892509437,0.12892853892509437
610,洪,hong2,9,6677683,2535634,0.45,2747355,1923457,2151243,1416980,709951,262195,8558.738,9382.717,10293.029,6845.314,4225.899,2913.278,7036.496,2.153,89.2,4.045,3.6875,3.4,3.3,xoŋ,2,mid,rising,0,1,0,back,middle,rounded,0.7247859809881718,0.7247859809881718
611,鸿,hong2,11,1164292,360045,0.528,229950,156549,203106,247264,367377,319509,716.355,763.654,971.799,1194.512,2186.768,3550.1,1563.865,2.806,34.214,4.453,4.4375,3.9,4.0,xoŋ,2,mid,rising,0,1,0,back,middle,rounded,0.7638022300842924,0.7638022300842924
612,侯,hou2,9,6718,2239,0.5,2582,1955,1574,1083,1048,763,8.044,9.537,7.531,5.232,6.238,8.478,7.51,5.07,30.548,4.501,3.4375,3.3,3.3,xou,2,mid,rising,0,1,0,back,high,rounded,0.750027911130959,0.750027911130959
613,后,hou4,6,190459,64980,0.491,108268,59073,48596,25053,11195,3382,337.283,288.161,232.517,121.029,66.637,37.578,180.534,3.741,2742.439,2.562,2.3125,2.8,2.7,xou,4,high,falling,0,0,1,back,high,rounded,0.7456144128343754,0.7456144128343754
614,厚,hou4,9,617971,152962,0.603,339064,155229,120659,76207,50316,29668,1056.274,757.215,577.316,368.15,299.5,329.644,564.683,3.247,135.054,3.866,3.375,3.5,3.1,xou,4,high,falling,0,0,1,back,high,rounded,0.8015884648860536,0.8015884648860536
615,候,hou4,10,6133,2033,0.502,2154,1970,1692,1199,875,294,6.71,9.61,8.096,5.792,5.208,3.267,6.447,5.128,655.914,3.182,3.0,3.1,2.8,xou,4,high,falling,0,0,1,back,high,rounded,0.7510409012980651,0.7510409012980651
616,乎,hu1,5,100,45,0.379,28,14,18,39,37,9,0.087,0.068,0.086,0.188,0.22,0.1,0.125,5.949,317.699,3.497,2.5625,2.4,2.3,xu,1,high,level,1,0,0,back,high,rounded,0.6896551724137931,0.6896551724137931
617,呼,hu1,8,1501,275,0.69,792,195,127,303,260,99,2.467,0.951,0.608,1.464,1.548,1.1,1.356,5.628,229.657,3.637,2.25,2.8,2.4,xu,1,high,level,1,0,0,back,high,rounded,0.8451576576576577,0.8451576576576577
618,胡,hu2,9,37791,59034,-0.219,41339,13462,12482,12724,11095,5880,128.782,65.668,59.722,61.469,66.042,65.333,74.503,4.122,166.31,3.776,3.0,3.0,2.8,xu,2,mid,rising,0,1,0,back,high,rounded,0.39030209140201394,0.39030209140201394
619,鹄,hu2,12,4290,1014,0.618,897,439,807,1382,1108,609,2.794,2.141,3.861,6.676,6.595,6.767,4.806,5.236,1.351,5.629,4.1875,3.0,3.6,xu,2,mid,rising,0,1,0,back,high,rounded,0.8088235294117647,0.8088235294117647
620,湖,hu2,12,114125,12147,0.808,37809,21347,20080,22338,17700,6844,117.785,104.132,96.077,107.913,105.357,76.044,101.218,3.99,147.659,3.828,3.375,3.3,2.9,xu,2,mid,rising,0,1,0,back,high,rounded,0.9038029016725798,0.9038029016725798
621,瑚,hu2,13,1455,4029,-0.469,1324,602,729,1352,1168,292,4.125,2.937,3.488,6.531,6.952,3.244,4.546,5.256,7.782,5.056,3.625,3.3,3.1,xu,2,mid,rising,0,1,0,back,high,rounded,0.26531728665207877,0.26531728665207877
622,虎,hu3,8,2074758,27123,0.974,355371,383171,453476,529078,328532,51471,1107.075,1869.127,2169.742,2555.932,1955.548,571.9,1704.887,2.768,113.574,3.941,3.75,3.0,3.3,xu,3,low,falling-rising,0,1,1,back,high,rounded,0.9870958441510247,0.9870958441510247
623,浒,hu3,9,2855,103,0.93,294,268,526,766,754,350,0.916,1.307,2.517,3.7,4.488,3.889,2.803,5.42,5.981,5.156,3.25,2.9,2.9,xu,3,low,falling-rising,0,1,1,back,high,rounded,0.9651791751183232,0.9651791751183232
624,琥,hu3,12,3629,425,0.79,620,553,1063,980,688,144,1.931,2.698,5.086,4.734,4.095,1.6,3.357,5.361,2.058,5.515,3.625,3.3,3.1,xu,3,low,falling-rising,0,1,1,back,high,rounded,0.8951652688702516,0.8951652688702516
625,沪,hu4,7,4310,837,0.675,1716,532,557,508,1216,628,5.346,2.595,2.665,2.454,7.238,6.978,4.546,5.256,16.464,4.758,3.25,3.1,2.8,xu,4,high,falling,0,0,1,back,high,rounded,0.8373809986399845,0.8373809986399845
626,祜,hu4,9,1230,84,0.872,785,93,82,127,136,91,2.445,0.454,0.392,0.614,0.81,1.011,0.954,5.709,0.9,5.721,2.875,2.7,2.8,xu,4,high,falling,0,0,1,back,high,rounded,0.9360730593607306,0.9360730593607306
627,扈,hu4,11,16,2,0.778,0,1,2,4,7,4,0.0,0.005,0.01,0.019,0.042,0.044,0.02,5.991,3.216,5.375,2.4375,2.0,2.7,xu,4,high,falling,0,0,1,back,high,rounded,0.8888888888888888,0.8888888888888888
674,火,huo3,4,315888,178058,0.279,218221,115264,70244,58715,24921,6387,679.816,562.263,336.096,283.647,148.339,70.967,346.855,3.459,492.305,3.307,2.875,3.1,3.0,xuo,3,low,falling-rising,0,1,1,back,high,rounded,0.6395192996805319,0.6395192996805319
675,伙,huo3,6,31382,31082,0.005,27274,15078,8418,8013,3241,477,84.966,73.551,40.278,38.71,19.292,5.3,43.683,4.35,165.024,3.78,2.375,2.9,2.7,xuo,3,low,falling-rising,0,1,1,back,high,rounded,0.5024013831967213,0.5024013831967213
676,钬,huo3,9,217,17,0.855,3,7,19,76,78,47,0.009,0.034,0.091,0.367,0.464,0.522,0.248,5.904,0.0,6.0,2.4375,2.0,2.6,xuo,3,low,falling-rising,0,1,1,back,high,rounded,0.9273504273504274,0.9273504273504274
677,货,huo4,8,6647,416,0.882,4940,1080,539,280,200,34,15.389,5.268,2.579,1.353,1.19,0.378,4.36,5.271,211.585,3.672,2.1875,2.4,2.3,xuo,4,high,falling,0,0,1,back,high,rounded,0.9411015149369956,0.9411015149369956
678,获,huo4,10,1242,545,0.39,142,103,229,427,673,213,0.442,0.502,1.096,2.063,4.006,2.367,1.746,5.561,259.433,3.584,3.125,2.7,2.9,xuo,4,high,falling,0,0,1,back,high,rounded,0.6950195858981534,0.6950195858981534
679,惑,huo4,12,53,33,0.233,9,6,13,20,24,14,0.028,0.029,0.062,0.097,0.143,0.156,0.086,5.964,35.886,4.433,1.9375,2.1,2.8,xuo,4,high,falling,0,0,1,back,high,rounded,0.6162790697674418,0.6162790697674418
680,霍,huo4,16,662,119,0.695,55,46,83,239,240,115,0.171,0.224,0.397,1.155,1.429,1.278,0.776,5.751,30.548,4.501,3.0625,2.8,2.9,xuo,4,high,falling,0,0,1,back,high,rounded,0.8476312419974392,0.8476312419974392
